aircraftId|airlineId|airlineCode|aircraftModel|aircraftStatus
A30000|AL0000|A3|Airbus A321|ACTIVE
A30001|AL0000|A3|Boeing 717|INACTIVE
A30002|AL0000|A3|Airbus A318|INACTIVE
A30003|AL0000|A3|Boeing 737|ACTIVE
A30004|AL0000|A3|Airbus A300|INACTIVE
A30005|AL0000|A3|Airbus A350 XWB|ACTIVE
A30006|AL0000|A3|Boeing 727|ACTIVE
A30007|AL0000|A3|Boeing 777|ACTIVE
A30008|AL0000|A3|Airbus A318|ACTIVE
A30009|AL0000|A3|Airbus A300|ACTIVE
A30010|AL0000|A3|Boeing 717|ACTIVE
A30011|AL0000|A3|Airbus A340|INACTIVE
A30012|AL0000|A3|Airbus A300|ACTIVE
A30013|AL0000|A3|Boeing 757|INACTIVE
A30014|AL0000|A3|Airbus A320|ACTIVE
A30015|AL0000|A3|Airbus A319|ACTIVE
A30016|AL0000|A3|Boeing 757|INACTIVE
A30017|AL0000|A3|Airbus A340|ACTIVE
A30018|AL0000|A3|Boeing 737|ACTIVE
A30019|AL0000|A3|Boeing 727|ACTIVE
A30020|AL0000|A3|Boeing 757|ACTIVE
A30021|AL0000|A3|Boeing 707|ACTIVE
A30022|AL0000|A3|Airbus A300|ACTIVE
A30023|AL0000|A3|Airbus A321|ACTIVE
A30024|AL0000|A3|Airbus A320|ACTIVE
A30025|AL0000|A3|Boeing 747|ACTIVE
A30026|AL0000|A3|Airbus A340|ACTIVE
A30027|AL0000|A3|Airbus A321|ACTIVE
A30028|AL0000|A3|Airbus A300|ACTIVE
A30029|AL0000|A3|Boeing 727|INACTIVE
A30030|AL0000|A3|Airbus A310|ACTIVE
A30031|AL0000|A3|Boeing 767|ACTIVE
A30032|AL0000|A3|Boeing 787|ACTIVE
A30033|AL0000|A3|Boeing 757|ACTIVE
A30034|AL0000|A3|Boeing 727|ACTIVE
A30035|AL0000|A3|Airbus A320|INACTIVE
A30036|AL0000|A3|Boeing 747|ACTIVE
A30037|AL0000|A3|Boeing 787|INACTIVE
A30038|AL0000|A3|Airbus A310|INACTIVE
A30039|AL0000|A3|Airbus A310|ACTIVE
A30040|AL0000|A3|Airbus A340|ACTIVE
A30041|AL0000|A3|Airbus A350 XWB|INACTIVE
A30042|AL0000|A3|Boeing 717|ACTIVE
A30043|AL0000|A3|Boeing 767|ACTIVE
A30044|AL0000|A3|Boeing 707|ACTIVE
A30045|AL0000|A3|Airbus A318|ACTIVE
A30046|AL0000|A3|Boeing 737|ACTIVE
A30047|AL0000|A3|Airbus A320|ACTIVE
A30048|AL0000|A3|Boeing 757|ACTIVE
A30049|AL0000|A3|Airbus A350 XWB|INACTIVE
A30050|AL0000|A3|Boeing 767|ACTIVE
A30051|AL0000|A3|Airbus A319|ACTIVE
A30052|AL0000|A3|Airbus A319|ACTIVE
A30053|AL0000|A3|Boeing 787|INACTIVE
A30054|AL0000|A3|Airbus A350 XWB|ACTIVE
A30055|AL0000|A3|Boeing 717|INACTIVE
