id|iata|icao|name|city|subd|countryCode|elevation|lat|lon
A00000|ICY|19AK|Icy Bay Airport|Icy Bay|Alaska|USA|50.0|59.9690188888889|-141.661770277778
A00001|HGZ|2AK6|Hog River Airport|Hogatza|Alaska|USA|534.0|66.1761333333333|-155.684816666667
A00002|BYW|38WA|Blakely Island Airport|Blakely Island|Washington|USA|66.0|48.5789916666667|-122.826290833333
A00003|BDF|3IS8|Rinkenberger Airport|Bradford|Illinois|USA|808.0|41.2308705555556|-89.6156516666667
A00004|RFK|5MS1|Rollang Field|Rolling Fork|Mississippi|USA|106.0|32.9542933333333|-90.8459330555555
A00005|BCS|65LA|Southern Seaplane Airport|Belle Chasse|Louisiana|USA|0.0|29.8660394444444|-90.0222927777778
A00006|DUF|7NC2|Pine Island Airport|Corolla|North Carolina|USA|16.0|36.2534952777778|-75.7885236111111
A00007|FOB|82CL|Fort Bragg Airport|Fort Bragg|California|USA|71.0|39.4743325|-123.795570555556
A00008|AFT|AGAF|Afutara Aerodrome|Bila|Malaita|SLB|23.0|-9.1913888889|160.948611111
A00009|RNA|AGAR|Ulawa Airport|Arona||SLB|40.0|-9.8605435826|161.979546547
A00010|ATD|AGAT|Uru Harbour Airport|Atoifi||SLB|0.0|-8.8733301163|161.0110015869
A00011|VEV|AGBA|Barakoma Airport|Barakoma||SLB|0.0|-7.912779808|156.7059936523
A00012|BPF|AGBT|Batuna Aerodrome|Batuna Mission Station|Western Province|SLB|24.0|-8.5620277778|158.119305556
A00013|GEF|AGEV|Geva Airport|Liangia||SLB|0.0|-7.5758299828|156.5970001221
A00014|AKS|AGGA|Auki Airport|Auki||SLB|5.0|-8.7025699616|160.682006836
A00015|BNY|AGGB|Bellona/Anua Airport|Anua||SLB|60.0|-11.3022222222|159.798333333
A00016|CHY|AGGC|Choiseul Bay Airport||Choiseul|SLB|0.0|-6.711944|156.396111
A00017|BAS|AGGE|Ballalae Airport|Ballalae||SLB|5.0|-6.990745|155.886656
A00018|FRE|AGGF|Fera/Maringe Airport|Fera Island|Isabel|SLB|0.0|-8.1075000763|159.5769958496
A00019|HIR|AGGH|Honiara International Airport|Honiara|Guadalcanal|SLB|28.0|-9.4280004501|160.0549926758
A00020|MBU|AGGI|Babanakira Airport|Mbambanakira|Guadalcanal|SLB|0.0|-9.7475004196|159.8390045166
A00021|AVU|AGGJ|Avu Avu Airport||Guadalcanal|SLB|25.0|-9.8683333333|160.410555556
A00022|IRA|AGGK|Ngorangora Airport|Kirakira||SLB|0.0|-10.4497003555|161.8979949951
A00023|SCZ|AGGL|Santa Cruz/Graciosa Bay/Luova Airport|Santa Cruz/Graciosa Bay/Luova|Temotu|SLB|18.0|-10.7202997208|165.7949981689
A00024|MUA|AGGM|Munda Airport|||SLB|10.0|-8.3279695511|157.2630004883
A00025|GZO|AGGN|Nusatupe Airport|Gizo||SLB|13.0|-8.0977802277|156.863998413
A00026|MNY|AGGO|Mono Airport|Stirling Island||SLB|0.0|-7.4169402122|155.5650024414
A00027|PRS|AGGP|Parasi Airport|Parasi||SLB|0.0|-9.6416702271|161.4250030518
A00028|RNL|AGGR|Rennell/Tingoa Airport|Rennell Island|Rennell and Bellona|SLB|0.0|-11.5339002609|160.06300354
A00029|EGM|AGGS|Sege Airport|Sege||SLB|0.0|-8.5788898468|157.8760070801
A00030|NNB|AGGT|Santa Ana Airport|Santa Ana Island||SLB|3.0|-10.847994|162.454108
A00031|RUS|AGGU|Marau Airport|Marau||SLB|0.0|-9.8616695404|160.824996948
A00032|VAO|AGGV|Suavanao Airport|Suavanao||SLB|0.0|-7.585559845|158.7310028076
A00033|XYA|AGGY|Yandina Airport|Yandina||SLB|60.0|-9.092816|159.21841
A00034|KGE|AGKG|Kagau Island Airport|Kagau Island||SLB|0.0|-7.3330001831|157.5829925537
A00035|KWS|AGKW|Kwailabesi Airport|Kwailabesi||SLB|26.0|-8.360508|160.775127
A00036|GTA|AGOK|Gatokae Airport|Gatokae||SLB|70.0|-8.739167|158.203056
A00037|RIN|AGRC|Ringi Cove Airport|Ringi Cove||SLB|0.0|-8.1263904572|157.1430053711
A00038|RBV|AGRM|Ramata Airport|Ramata||SLB|0.0|-8.1680603027|157.6430053711
A00039|CEX|AK13|Chena Hot Springs Airport|Chena Hot Springs|Alaska|USA|1195.0|65.0518255555556|-146.047431944444
A00040|HED|AK33|Herendeen Bay Airport|Herendeen Bay|Alaska|USA|20.0|55.801395|-160.899254444444
A00041|TWE|AK49|Taylor Airport|Taylor|Alaska|USA|440.0|65.6792752777778|-164.798806944444
A00042|LNI|AK71|Lonely Air Station|Lonely|Alaska|USA|17.0|70.9107452777778|-153.242215
A00043|CDL|AK75|Candle 2 Airport|Candle|Alaska|USA|15.0|65.9076580555556|-161.926305833333
A00044|BSW|AK97|Boswell Bay Airport|Boswell Bay|Alaska|USA|230.0|60.4230641666667|-146.145909444444
A00045|INU|ANYN|Nauru International Airport|Yaren District|Yaren|NRU|22.0|-0.547458|166.919006
A00046|ATP|AYAI|Aitape Airport|Aitape|Sandaun|PNG|10.0|-3.1436111111|142.346805556
A00047|AMU|AYAM|Amanab Airport|Amanab|Sandaun|PNG|1307.0|-3.586|141.214333333
A00048|ADC|AYAN|Andakombe Airport|Andekombe|Gulf|PNG|3600.0|-7.1372222222|145.744722222
A00049|AIE|AYAO|Aiome Airport|Aiome|Madang|PNG|350.0|-5.145699978|144.7307003
A00050|KPM|AYAQ|Kompiam Airport||Enga|PNG|5100.0|-5.3816666667|143.924722222
A00051|AUJ|AYAT|Ambunti Airport|Ambunti|East Sepik|PNG|50.0|-4.2156666667|142.823166667
A00052|AWB|AYAW|Awaba Airport|Awaba|Western Province|PNG|32.0|-8.0061101914|142.748352051
A00053|AYU|AYAY|Aiyura Airport|Aiyura Valley|Eastern Highlands|PNG|5355.0|-6.3380555556|145.904166667
A00054|VMU|AYBA|Baimuru Airport|Baimuru|Gulf|PNG|27.0|-7.4968600273|144.819900513
A00055|BDZ|AYBG|Baindoung Airport||Morobe|PNG|4400.0|-6.3472222222|146.942222222
A00056|BUA|AYBK|Buka Airport|Buka Island|Bougainville|PNG|11.0|-5.4223198891|154.6730041504
A00057|OPU|AYBM|Balimo Airport|Balimo|Western Province|PNG|51.0|-8.0500001907|142.932998657
A00058|BUL|AYBU|Bulolo Airport|Bulolo|Morobe|PNG|2240.0|-7.2162866714|146.649541855
A00059|CMU|AYCH|Chimbu Airport|Kundiawa|Chimbu|PNG|4974.0|-6.0242900848|144.970993042
A00060|DER|AYDE|Derim Airport|Derim|Morobe|PNG|4850.0|-6.1447222222|147.107222222
A00061|DAU|AYDU|Daru Airport|Daru|Western Province|PNG|20.0|-9.0867595673|143.207992554
A00062|XYR|AYED|Edwaki Airport|Yellow River Mission|Sandaun|PNG|190.0|-3.883986|141.792234
A00063|FNE|AYFA|Fane Airport|Fane Mission|Central Province|PNG|4500.0|-8.5492777778|147.085833333
A00064|FIN|AYFI|Finschhafen Airport|Buki|Morobe|PNG|60.0|-6.621750109|147.85405
A00065|FAQ|AYFR|Frieda River Airport|Frieda River|East Sepik|PNG|217.0|-4.610468|141.960138
A00066|GKA|AYGA|Goroka Airport|Goronka|Eastern Highlands|PNG|5282.0|-6.0816898346|145.391998291
A00067|GRL|AYGG|Garasa Airport|Au|Morobe|PNG|2539.0|-7.980713|147.213461
A00068|GAR|AYGI|Garaina Airport|Garaina|Morobe|PNG|2497.0|-7.8756250275|147.141265869
A00069|GUR|AYGN|Gurney Airport|Gurney|Milne Bay|PNG|88.0|-10.3114995956|150.333999634
A00070|GAP|AYGP|Gusap Airport|Gusap|Morobe|PNG|1504.0|-6.053196|145.959047
A00071|PNP|AYGR|Girua Airport|Popondetta|Northern Province|PNG|311.0|-8.8045396805|148.309005737
A00072|GMI|AYGT|Gasmata Island Airport|Gasmata Island|West New Britain|PNG|23.0|-6.2711100578|150.330993652
A00073|GVI|AYGV|Green River Airport|Green River|Sandaun|PNG|281.0|-3.9022428989|141.170516968
A00074|HKN|AYHK|Kimbe Airport|Hoskins|West New Britain|PNG|66.0|-5.4621701241|150.4049987793
A00075|KIE|AYIQ|Aropa Airport|Kieta|Bougainville Island|PNG|10.0|-6.305|155.727778
