airlineId|aircraftId|model|status
AL0000|A30081|Boeing 707|ACTIVE
AL0000|A30020|Boeing 767|ACTIVE
AL0000|A30213|AirBus A310|ACTIVE
AL0000|A30191|AirBus A220|ACTIVE
AL0000|A30058|AirBus A330|ACTIVE
AL0000|A30086|Boeing 747|ACTIVE
AL0000|A30173|Boeing 727|ACTIVE
AL0000|A30222|AirBus A220|ACTIVE
AL0000|A30287|AirBus A310|ACTIVE
AL0000|A30145|Boeing 737|ACTIVE
AL0000|A30132|AirBus A330neo|ACTIVE
AL0000|A30207|Boeing 767|ACTIVE
AL0000|A30094|AirBus A319|ACTIVE
AL0000|A30266|Boeing 757|ACTIVE
AL0000|A30185|Boeing 777|ACTIVE
AL0000|A30214|AirBus A330neo|ACTIVE
AL0000|A30187|AirBus A340|ACTIVE
AL0000|A30167|AirBus A330|ACTIVE
AL0000|A30213|Boeing 737|ACTIVE
AL0000|A30047|AirBus A380|ACTIVE
AL0000|A30287|Boeing 777|ACTIVE
AL0000|A30255|Boeing 777|ACTIVE
AL0000|A30172|Boeing 767|ACTIVE
AL0000|A30143|Boeing 737|ACTIVE
AL0000|A30049|Boeing 767|ACTIVE
AL0000|A30184|Boeing 737|ACTIVE
AL0000|A30119|AirBus A330neo|ACTIVE
AL0000|A30215|Boeing 747|ACTIVE
AL0000|A30093|AirBus A320|ACTIVE
AL0000|A30281|Boeing 717|ACTIVE
AL0000|A30273|AirBus A380|ACTIVE
AL0000|A30219|Boeing 747|ACTIVE
AL0000|A30075|Boeing 767|ACTIVE
AL0000|A30034|AirBus A220|ACTIVE
AL0000|A30119|AirBus A321XLR|ACTIVE
AL0000|A30044|AirBus A350 XWB|ACTIVE
AL0000|A30259|AirBus A220|ACTIVE
AL0000|A30050|AirBus A320|ACTIVE
AL0000|A30250|Boeing 787 Dreamliner|ACTIVE
AL0000|A30184|AirBus A310|ACTIVE
AL0000|A30062|AirBus A380|ACTIVE
AL0000|A30066|AirBus A220|ACTIVE
AL0000|A30014|AirBus A321XLR|ACTIVE
AL0000|A30028|AirBus A350 XWB|ACTIVE
AL0000|A30141|Boeing 767|ACTIVE
AL0000|A30283|AirBus A321|ACTIVE
AL0000|A30215|Boeing 727|ACTIVE
AL0000|A30281|AirBus A330neo|ACTIVE
AL0000|A30055|Boeing 737|ACTIVE
AL0000|A30075|AirBus A380|ACTIVE
AL0000|A30110|Boeing 777|ACTIVE
AL0000|A30157|AirBus A350 XWB|ACTIVE
AL0000|A30064|AirBus A340|ACTIVE
AL0000|A30222|AirBus A330neo|ACTIVE
AL0000|A30158|Boeing 727|ACTIVE
AL0000|A30277|Boeing 777|ACTIVE
AL0000|A30064|AirBus A310|ACTIVE
AL0000|A30278|Boeing 717|ACTIVE
AL0000|A30248|AirBus A380|ACTIVE
AL0000|A30127|Boeing 777|ACTIVE
AL0000|A30174|Boeing 757|ACTIVE
AL0000|A30263|Boeing 747|ACTIVE
AL0000|A30143|Boeing 737|ACTIVE
AL0000|A30072|Boeing 737|ACTIVE
AL0000|A30050|AirBus A220|ACTIVE
AL0000|A30220|AirBus A330neo|ACTIVE
AL0000|A30006|AirBus A330|ACTIVE
AL0000|A30037|Boeing 757|ACTIVE
AL0000|A30136|AirBus A340|ACTIVE
AL0000|A30230|Boeing 707|ACTIVE
AL0000|A30142|Boeing 727|ACTIVE
AL0000|A30008|AirBus A330|ACTIVE
AL0000|A30064|AirBus A319|ACTIVE
AL0000|A30108|AirBus A350 XWB|ACTIVE
AL0000|A30089|Boeing 777|ACTIVE
AL0000|A30011|AirBus A330neo|ACTIVE
AL0000|A30291|AirBus A350 XWB|ACTIVE
AL0000|A30288|AirBus A321XLR|ACTIVE
AL0000|A30199|Boeing 777|ACTIVE
AL0000|A30166|Boeing 787 Dreamliner|ACTIVE
AL0000|A30241|Boeing 767|ACTIVE
AL0000|A30104|Boeing 717|ACTIVE
AL0000|A30041|AirBus A310|ACTIVE
AL0000|A30039|Boeing 757|ACTIVE
AL0000|A30201|Boeing 727|ACTIVE
AL0000|A30099|AirBus A330|ACTIVE
AL0000|A30009|AirBus A330|ACTIVE
AL0000|A30087|AirBus A321|ACTIVE
AL0000|A30007|AirBus A330neo|ACTIVE
AL0000|A30090|AirBus A321XLR|ACTIVE
AL0000|A30205|Boeing 737|ACTIVE
AL0000|A30274|Boeing 727|ACTIVE
AL0000|A30231|AirBus A380|ACTIVE
AL0000|A30275|Boeing 777|ACTIVE
AL0000|A30124|AirBus A340|ACTIVE
AL0000|A30119|AirBus A380|ACTIVE
AL0000|A30272|Boeing 777|ACTIVE
AL0000|A30024|AirBus A321XLR|ACTIVE
AL0000|A30175|AirBus A220|ACTIVE
AL0000|A30026|Boeing 707|ACTIVE
AL0000|A30211|Boeing 707|ACTIVE
AL0000|A30154|AirBus A220|ACTIVE
AL0000|A30159|Boeing 717|ACTIVE
AL0000|A30246|Boeing 717|ACTIVE
AL0000|A30019|AirBus A319|ACTIVE
AL0000|A30181|Boeing 727|ACTIVE
AL0000|A30041|Boeing 717|ACTIVE
AL0000|A30023|Boeing 747|ACTIVE
AL0000|A30182|Boeing 787 Dreamliner|ACTIVE
AL0000|A30276|AirBus A310|ACTIVE
AL0000|A30088|AirBus A321|ACTIVE
AL0000|A30193|Boeing 747|ACTIVE
AL0000|A30084|Boeing 787 Dreamliner|ACTIVE
AL0000|A30191|AirBus A220|ACTIVE
AL0000|A30021|AirBus A340|ACTIVE
AL0000|A30132|Boeing 777|ACTIVE
AL0000|A30035|AirBus A330neo|ACTIVE
AL0000|A30287|Boeing 727|ACTIVE
AL0000|A30060|AirBus A330neo|ACTIVE
AL0000|A30071|AirBus A320|ACTIVE
AL0000|A30299|Boeing 707|ACTIVE
AL0000|A30046|Boeing 707|ACTIVE
AL0000|A30143|AirBus A321XLR|ACTIVE
AL0000|A30215|AirBus A321XLR|ACTIVE
AL0000|A30048|AirBus A330|ACTIVE
AL0000|A30120|Boeing 717|ACTIVE
AL0000|A30113|Boeing 747|ACTIVE
AL0000|A30187|Boeing 767|ACTIVE
AL0000|A30107|AirBus A340|ACTIVE
AL0000|A30080|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0082|Boeing 737|ACTIVE
AL0001|EI0247|AirBus A330neo|ACTIVE
AL0001|EI0129|Boeing 787 Dreamliner|ACTIVE
AL0001|EI0019|AirBus A330neo|ACTIVE
AL0001|EI0005|AirBus A321XLR|ACTIVE
AL0001|EI0174|AirBus A340|ACTIVE
